id,name,street,city,state,country,general_email,phone_number,phone_office
1,Rubbermaid Commercial Products LLC,21171 Stephen Hill,Canton,Ohio,United States,aalexander0@msu.edu,1-(330)907-1729,1-(714)221-6131
2,"Physicians Total Care, Inc.",89 Maryland Pass,Macon,Georgia,United States,cwilliams1@prweb.com,1-(478)119-3368,1-(239)738-7176
3,Ventura International LTD.,4 Moland Park,Indianapolis,Indiana,United States,rromero2@ow.ly,1-(317)372-3445,1-(239)364-2136
4,CVS PHARMACY,825 Vermont Place,Fort Lauderdale,Florida,United States,cmedina3@harvard.edu,1-(954)848-6294,1-(512)783-5358
5,TYA Pharmaceuticals,1 Rusk Avenue,Omaha,Nebraska,United States,jperry4@digg.com,1-(402)384-4581,1-(305)168-8039
6,Teva Pharmaceuticals USA Inc,47079 Sycamore Pass,Apache Junction,Arizona,United States,tlawrence5@deviantart.com,1-(480)784-8507,1-(865)715-4088
7,Ionx Holdings d/b/a HelloLife Inc.,6 Green Plaza,Evansville,Indiana,United States,emyers6@omniture.com,1-(812)964-5589,1-(813)901-6679
8,Richmond Division of Wyeth,73 Vermont Crossing,Atlanta,Georgia,United States,kmiller7@yahoo.com,1-(770)960-5799,1-(904)309-5631
9,Rebel Distributors Corp,17396 5th Center,Jackson,Mississippi,United States,kmiller8@google.ru,1-(601)590-8228,1-(724)113-7825
10,Cobalt Laboratories,88 Briar Crest Place,Irving,Texas,United States,aperkins9@umich.edu,1-(214)353-2582,1-(309)480-0880
11,Western Family Foods Inc,314 Chive Parkway,Orange,California,United States,jwarrena@prlog.org,1-(714)534-2842,1-(757)437-4485
12,McKesson Contract Packaging,05 Larry Terrace,Baltimore,Maryland,United States,jphillipsb@apache.org,1-(443)855-3457,1-(202)333-4593
13,"Certus Medical, Inc.",95 Nobel Drive,Louisville,Kentucky,United States,baustinc@telegraph.co.uk,1-(502)223-0273,1-(910)707-8121
14,Torrent Pharmaceuticals Limited,5 Gerald Parkway,San Francisco,California,United States,astewartd@bbc.co.uk,1-(562)205-2988,1-(202)838-5281
15,"Asclemed USA, Inc.",8 Bonner Circle,Santa Monica,California,United States,cedwardse@nih.gov,1-(818)123-0310,1-(812)190-0568
16,GNLD International,3 Spaight Trail,Washington,District of Columbia,United States,hhernandezf@boston.com,1-(202)772-3189,1-(239)490-5521
17,"Roxane Laboratories, Inc",90 Golf Plaza,Winston Salem,North Carolina,United States,drossg@exblog.jp,1-(336)852-4814,1-(775)231-1806
18,American Sales Company,351 Hallows Road,Portland,Oregon,United States,jschmidth@wsj.com,1-(971)384-6883,1-(865)432-7531
19,"Nelco Laboratories, Inc.",4 Continental Street,Winston Salem,North Carolina,United States,rlynchi@mysql.com,1-(336)582-5755,1-(918)214-5597
20,MEIJER DISTRIBUTION INC,9 Fremont Terrace,El Paso,Texas,United States,rrussellj@ted.com,1-(915)625-9320,1-(904)389-3971
